,precision,recall,f1-score,support
Consumer Loan,0.8902654867256637,0.8205546492659054,0.8539898132427844,1226.0
Credit card,0.8813972380178716,0.8857142857142857,0.8835504885993485,1225.0
Debt collection,0.8485099337748344,0.8360522022838499,0.8422350041084633,1226.0
Mortgage,0.8777194298574643,0.9551020408163265,0.9147771696637998,1225.0
accuracy,0.8743370053039575,0.8743370053039575,0.8743370053039575,0.8743370053039575
macro avg,0.8744730220939585,0.8743557945200919,0.873638118903599,4902.0
weighted avg,0.8744709473033248,0.8743370053039575,0.8736277044971412,4902.0
